x,x_dot,theta,theta_dot
3.597990201165525703e-01,-9.841397141794938630e-02,4.989394556364646682e+00,3.833936548564287339e+00
3.515198541014002975e-01,-3.898865490991451632e-02,5.218826600006106986e+00,7.607127536162430204e-01
3.537527139754729766e-01,7.438540817502561908e-02,5.141971262156758371e+00,-2.298785333324811830e+00
3.606295939591313005e-01,1.226413124391954358e-02,4.757488737675318546e+00,-5.415090232693569483e+00
3.414008735880890710e-01,-4.873443793526610057e-01,4.042426360225810811e+00,-9.045201855182032347e+00
2.590055079951895101e-01,-9.650471338589557968e-01,2.964011361564710789e+00,-1.150818256831465369e+01
1.969075089908415288e-01,-2.549388439994972333e-01,1.988105408626330561e+00,-7.762369239300746848e+00
1.925433539653780834e-01,8.394418931058408861e-02,1.386742822830170363e+00,-4.372614104713036021e+00
2.016947696237048615e-01,6.299613248134455779e-02,1.104982013108611216e+00,-1.271549747718517143e+00
2.020764343678840558e-01,-5.189068124202343008e-02,1.131832094863345572e+00,1.808444910424129359e+00
1.958519856074358023e-01,-2.859231114881976080e-02,1.467575440089855521e+00,4.922012683304409997e+00
2.098327633176530482e-01,3.957499020884936436e-01,2.128735077524982255e+00,8.436876750195136054e+00
2.851206665724251854e-01,9.933407969397134440e-01,3.161936678540902435e+00,1.156657543957012280e+01
3.568192681634219099e-01,3.504984080514435552e-01,4.179405821475487670e+00,8.234225013312046926e+00
3.672620037541349247e-01,-5.396633208594493747e-02,4.821751391714569124e+00,4.741419825808154798e+00
3.591904159221804838e-01,-6.570777785127240866e-02,5.138920238705202870e+00,1.614482604590347314e+00
3.581352782884610342e-01,4.509717341958573850e-02,5.145377667729805538e+00,-1.484869600816838942e+00
3.644574957250409364e-01,4.158117111260435650e-02,4.841388427678864126e+00,-4.606171546734725730e+00
3.538469097402880403e-01,-3.381676682187466643e-01,4.213853776076410540e+00,-8.063632467850180063e+00
2.843949799581080295e-01,-9.782864729094532530e-01,3.213817595791876425e+00,-1.146924826101215977e+01
2.086484489036423695e-01,-4.026026431957087093e-01,2.177827000485518916e+00,-8.501080066195997986e+00
1.949358400585949891e-01,3.965115788901275862e-02,1.512587241393140047e+00,-4.941754817322553173e+00
2.028122223291532189e-01,7.290469489604332887e-02,1.176613030850612862e+00,-1.792917975065522418e+00
2.049645744014485793e-01,-3.245826951087348727e-02,1.153204002944527851e+00,1.324264300482540291e+00
1.997050068662523659e-01,-3.480711901147997417e-02,1.441859025924654203e+00,4.458217302369289925e+00
2.102167235016695890e-01,3.276069011024196342e-01,2.054234084444940933e+00,7.900692648810603735e+00
2.781274248249775427e-01,9.721125872371562116e-01,3.038026892309880989e+00,1.136576121129029637e+01
3.555639276324500386e-01,4.285503051353125037e-01,4.075067169213307139e+00,8.557945427425368123e+00
3.713846697437000466e-01,-2.402508658823591936e-02,4.744819104128829679e+00,4.975088933274316005e+00
3.646247901683543069e-01,-6.547952216499432210e-02,5.083305518716409566e+00,1.810401694357778979e+00
3.629454184712777032e-01,3.466897623915533855e-02,5.107664181435575657e+00,-1.322862833190765253e+00
3.681374027327656284e-01,3.082004508740077489e-02,4.818382649260014361e+00,-4.472161137337831605e+00
3.568277424978907875e-01,-3.393535767609386355e-01,4.203665195060823478e+00,-7.934104508567657810e+00
2.881714943126663098e-01,-9.642501658482541815e-01,3.218736204331141160e+00,-1.130291154385556140e+01
2.128048817851452834e-01,-4.089767398006587396e-01,2.195193720170131702e+00,-8.410274414979534541e+00
1.980780151509463349e-01,2.777123872121884524e-02,1.538978977296274309e+00,-4.845047882309177822e+00
2.048479427070681036e-01,6.362815385296849424e-02,1.213880397307430137e+00,-1.670771182126561838e+00
2.064770128362246326e-01,-3.202286884287539742e-02,1.204217017014198587e+00,1.477214422725042775e+00
2.023097417106944074e-01,-1.033690535437145445e-02,1.509739162615969521e+00,4.644632529976641777e+00
2.171841295868812693e-01,3.910416762645202438e-01,2.143941512567419494e+00,8.158427299548005607e+00
2.902472411625922066e-01,9.650055513802464624e-01,3.145207644962116245e+00,1.124222004855835166e+01
3.615495639403349948e-01,3.658173915945837629e-01,4.140168711713474003e+00,8.071014701131799640e+00
3.740662335215613754e-01,-3.139672718402470447e-02,4.765703565605066139e+00,4.557187846720866631e+00
3.679879870741301628e-01,-5.015627374714291820e-02,5.061944511655616985e+00,1.377718003059180241e+00
3.676101575830419410e-01,3.977281635859147152e-02,5.041630970833745451e+00,-1.783655516065147939e+00
3.712139333626904847e-01,-1.351118977061839532e-02,4.704560635240532029e+00,-4.974146671551193499e+00
3.512874557857957325e-01,-4.687267377104233912e-01,4.033601662344964645e+00,-8.573706454695544821e+00
